ts_code,symbol,name,area,industry,market,list_date
159731.SZ,159731,石化ETF,,T+1交易,ETF,20211210
561300.SH,561300,300增强ETF,,T+1交易,ETF,20211210
517160.SH,517160,长江保护主题ETF,,T+1交易,ETF,20220105
517330.SH,517330,长江保护ETF,,T+1交易,ETF,20220105
159789.SZ,159789,饮料ETF,,T+1交易,ETF,20211220
517770.SH,517770,游戏传媒ETF,,T+1交易,ETF,20211203
159761.SZ,159761,新材料50ETF,,T+1交易,ETF,20211213
159748.SZ,159748,创新药ETF富国,,T+1交易,ETF,20211203
159607.SZ,159607,中概互联网ETF,,T+1交易,ETF,20211202
159605.SZ,159605,中概互联ETF,,T+1交易,ETF,20211202
517960.SH,517960,科技AHETF,,T+1交易,ETF,20211223
159779.SZ,159779,消费电子50ETF,,T+1交易,ETF,20211126
517880.SH,517880,品牌消费ETF,,T+1交易,ETF,20211201
517280.SH,517280,网购ETF,,T+1交易,ETF,20211203
159896.SZ,159896,物联网ETF南方,,T+1交易,ETF,20211124
159726.SZ,159726,恒生红利ETF,,T+0交易,ETF,20211123
561310.SH,561310,消电ETF,,T+1交易,ETF,20211125
159793.SZ,159793,线上消费ETF基金,,T+1交易,ETF,20211124
159707.SZ,159707,地产ETF,,T+1交易,ETF,20211112
516730.SH,516730,证券公司ETF,,T+1交易,ETF,20211112
159739.SZ,159739,大数据ETF,,T+1交易,ETF,20211117
159601.SZ,159601,A50ETF,,T+1交易,ETF,20211108
563000.SH,563000,中国A50ETF,,T+1交易,ETF,20211108
159602.SZ,159602,中国A50ETF,,T+1交易,ETF,20211108
560050.SH,560050,MSCI中国A50ETF,,T+1交易,ETF,20211108
516750.SH,516750,建材ETF,,T+1交易,ETF,20211105
159712.SZ,159712,港股通50ETF,,T+0交易,ETF,20211111
159770.SZ,159770,机器人ETF,,T+1交易,ETF,20211108
159862.SZ,159862,食品ETF,,T+1交易,ETF,20211108
159877.SZ,159877,医疗ETF南方,,T+1交易,ETF,20211103
516620.SH,516620,影视ETF,,T+1交易,ETF,20211105
159895.SZ,159895,物联网ETF易方达,,T+1交易,ETF,20211021
517660.SH,517660,物联网ETF沪港深,,T+1交易,ETF,20211025
159853.SZ,159853,科技100ETF,,T+1交易,ETF,20211015
159892.SZ,159892,恒生医药ETF,,T+0交易,ETF,20211019
516130.SH,516130,消费龙头ETF,,T+1交易,ETF,20211013
159723.SZ,159723,科技龙头ETF,,T+1交易,ETF,20211015
561130.SH,561130,国货ETF,,T+1交易,ETF,20211018
159777.SZ,159777,创科技ETF,,T+1交易,ETF,20211018
516860.SH,516860,金融科技ETF,,T+1交易,ETF,20211011
159773.SZ,159773,创业板科技ETF,,T+1交易,ETF,20211008
562360.SH,562360,机器人ETF基金,,T+1交易,ETF,20211015
560000.SH,560000,智慧电车ETF,,T+1交易,ETF,20210930
510770.SH,510770,G60创新ETF,,T+1交易,ETF,20210928
159717.SZ,159717,ESGETF,,T+1交易,ETF,20210929
159733.SZ,159733,消费电子50ETF,,T+1交易,ETF,20210929
159792.SZ,159792,港股通互联网ETF,,T+0交易,ETF,20210928
517030.SH,517030,沪港深300ETF易方达,,T+1交易,ETF,20210927
562800.SH,562800,稀有金属ETF,,T+1交易,ETF,20210927
159736.SZ,159736,食品饮料ETF天弘,,T+1交易,ETF,20210927
516190.SH,516190,文娱传媒ETF,,T+1交易,ETF,20210917
517110.SH,517110,创新药ETF国泰,,T+1交易,ETF,20210930
516560.SH,516560,养老ETF,,T+1交易,ETF,20210916
516210.SH,516210,银行ETF指数基金,,T+1交易,ETF,20210924
159889.SZ,159889,智能汽车ETF,,T+1交易,ETF,20210909
159715.SZ,159715,稀土ETF易方达,,T+1交易,ETF,20210910
561600.SH,561600,消费电子ETF,,T+1交易,ETF,20210909
560560.SH,560560,碳中和ETF泰康,,T+1交易,ETF,20210913
516630.SH,516630,云计算50ETF,,T+1交易,ETF,20210903
159763.SZ,159763,新材料ETF基金,,T+1交易,ETF,20210913
516640.SH,516640,芯片龙头ETF,,T+1交易,ETF,20210827
561350.SH,561350,国泰中证500ETF,,T+1交易,ETF,20210901
516790.SH,516790,医疗ETF华泰柏瑞,,T+1交易,ETF,20210823
159732.SZ,159732,消费电子ETF,,T+1交易,ETF,20210823
561800.SH,561800,稀有金属ETF基金,,T+1交易,ETF,20210824
516290.SH,516290,光伏龙头ETF,,T+1交易,ETF,20210823
159875.SZ,159875,新能源ETF,,T+1交易,ETF,20210817
159767.SZ,159767,电池龙头ETF,,T+1交易,ETF,20210823
159840.SZ,159840,锂电池ETF,,T+1交易,ETF,20210820
159713.SZ,159713,稀土ETF,,T+1交易,ETF,20210816
560660.SH,560660,云50ETF,,T+1交易,ETF,20210825
516930.SH,516930,生物科技ETF基金,,T+1交易,ETF,20210818
560500.SH,560500,500质量成长ETF,,T+1交易,ETF,20210901
516710.SH,516710,新材料50ETF,,T+1交易,ETF,20210817
517800.SH,517800,人工智能50ETF,,T+1交易,ETF,20210826
561910.SH,561910,电池ETF,,T+1交易,ETF,20210812
517010.SH,517010,沪港深500ETF易方达,,T+1交易,ETF,20210812
513590.SH,513590,香港消费ETF,,T+0交易,ETF,20210819
159790.SZ,159790,碳中和ETF,,T+1交易,ETF,20210806
159846.SZ,159846,中证1000ETF基金,,T+1交易,ETF,20210816
159786.SZ,159786,VRETF,,T+1交易,ETF,20210806
159864.SZ,159864,光伏50ETF,,T+1交易,ETF,20210810
516920.SH,516920,芯片50ETF,,T+1交易,ETF,20210816
517380.SH,517380,创新药ETF天弘,,T+1交易,ETF,20210809
159838.SZ,159838,医药50ETF,,T+1交易,ETF,20210730
516260.SH,516260,物联网50ETF,,T+1交易,ETF,20210802
516720.SH,516720,ESGETF,,T+1交易,ETF,20210813
159757.SZ,159757,电池30ETF,,T+1交易,ETF,20210809
159752.SZ,159752,新能源龙头ETF,,T+1交易,ETF,20210728
159710.SZ,159710,智能电车ETF,,T+1交易,ETF,20210809
159766.SZ,159766,旅游ETF,,T+1交易,ETF,20210723
516580.SH,516580,新能源主题ETF,,T+1交易,ETF,20210726
516100.SH,516100,金融科技ETF华夏,,T+1交易,ETF,20210723
562880.SH,562880,电池ETF嘉实,,T+1交易,ETF,20210720
513700.SH,513700,香港医药ETF,,T+0交易,ETF,20210806
516270.SH,516270,新能源50ETF,,T+1交易,ETF,20210723
516890.SH,516890,新材料ETF指数基金,,T+1交易,ETF,20210728
159847.SZ,159847,医疗ETF易方达,,T+1交易,ETF,20210719
159729.SZ,159729,互联网ETF,,T+1交易,ETF,20210721
517120.SH,517120,创新药ETF华泰柏瑞,,T+1交易,ETF,20210719
159720.SZ,159720,智能车ETF泰康,,T+1交易,ETF,20210720
159830.SZ,159830,上海金ETF,,T+1交易,ETF,20210719
561900.SH,561900,沪深300ESGETF,,T+1交易,ETF,20210715
159747.SZ,159747,香港科技ETF,,T+0交易,ETF,20210714
159782.SZ,159782,双创50ETF,,T+1交易,ETF,20210707
159781.SZ,159781,科创创业ETF,,T+1交易,ETF,20210705
159783.SZ,159783,科创创业50ETF,,T+1交易,ETF,20210705
516830.SH,516830,300ESGETF,,T+1交易,ETF,20210705
159780.SZ,159780,双创ETF,,T+1交易,ETF,20210705
516870.SH,516870,汽车龙头ETF,,T+1交易,ETF,20210709
159859.SZ,159859,生物医药ETF,,T+1交易,ETF,20210707
516970.SH,516970,基建50ETF,,T+1交易,ETF,20210705
513980.SH,513980,港股科技50ETF,,T+0交易,ETF,20210702
159716.SZ,159716,深证100ETF华宝,,T+1交易,ETF,20210628
517360.SH,517360,沪港深科技ETF,,T+1交易,ETF,20210705
159708.SZ,159708,红利ETF,,T+1交易,ETF,20210702
159899.SZ,159899,软件龙头ETF,,T+1交易,ETF,20210628
510990.SH,510990,180ESGETF,,T+1交易,ETF,20210701
159709.SZ,159709,物联网ETF工银,,T+1交易,ETF,20210702
561500.SH,561500,漂亮50ETF,,T+1交易,ETF,20210628
513860.SH,513860,港股通科技ETF,,T+0交易,ETF,20210702
159881.SZ,159881,有色60ETF,,T+1交易,ETF,20210701
159721.SZ,159721,深证100ETF永赢,,T+1交易,ETF,20210625
159872.SZ,159872,智能网联汽车ETF,,T+1交易,ETF,20210701
516400.SH,516400,ESG龙头ETF,,T+1交易,ETF,20210701
516980.SH,516980,证券ETF先锋,,T+1交易,ETF,20210624
159755.SZ,159755,电池ETF,,T+1交易,ETF,20210624
159725.SZ,159725,线上消费ETF,,T+1交易,ETF,20210702
516820.SH,516820,医疗创新ETF,,T+1交易,ETF,20210701
159745.SZ,159745,建材ETF,,T+1交易,ETF,20210618
516570.SH,516570,化工行业ETF,,T+1交易,ETF,20210618
